iter	RMSE
0	14.51392393
1	13.74400626
2	13.09174444
3	12.54726467
4	12.11388226
5	11.64910036
6	11.1646839
7	10.72249409
8	10.23563656
9	9.809541246
10	9.313728519
11	9.030797979
12	8.708168124
13	8.40776753
14	8.075203105
15	7.804978277
16	7.46304494
17	7.17278011
18	6.918781352
19	6.699261225
20	6.452561161
21	6.253693954
22	6.060781661
23	5.876499468
24	5.710131168
25	5.523060728
26	5.318654066
27	5.109556417
28	4.955996335
29	4.786068491
30	4.63913885
31	4.502733118
32	4.357897939
33	4.190718955
34	4.067461239
35	3.930564339
36	3.798479467
37	3.687702698
38	3.559922177
39	3.446005051
40	3.320572965
41	3.233896491
42	3.123304334
43	2.989928856
44	2.90394461
45	2.811853374
46	2.745149331
47	2.663928203
48	2.588030942
49	2.506135099
50	2.433787738
51	2.370445758
52	2.294234846
53	2.230973563
54	2.169501409
55	2.106896649
56	2.044782491
57	1.98571486
58	1.927389965
59	1.870662837
60	1.817550147
61	1.767140542
62	1.717139352
63	1.669498715
64	1.627421369
65	1.580665257
66	1.537573097
67	1.497254659
68	1.454365812
69	1.416761276
70	1.380270838
71	1.344860138
72	1.308763919
73	1.272353307
74	1.238830428
75	1.205753218
76	1.175288948
77	1.142751671
78	1.116285151
79	1.088646413
80	1.061990822
81	1.03305468
82	1.005084837
83	0.9809205568
84	0.9546167271
85	0.9291904223
86	0.906027473
87	0.8821105777
88	0.8589910509
89	0.8405145614
90	0.8274349168
91	0.810008972
92	0.7977059336
93	0.7812743016
94	0.7654915166
95	0.75421592
96	0.7364002063
97	0.7258396002
98	0.7116974524
99	0.6952697828
100	0.685640202
101	0.6692866987
102	0.6602054491
103	0.644614179
104	0.6312584195
105	0.6165406513
106	0.6025145973
107	0.5889749078
108	0.5784707554
109	0.5684999956
110	0.5590300656
111	0.55193614
112	0.5431905487
113	0.5348243012
114	0.5284893255
115	0.5207383187
116	0.5133269006
117	0.5003696532
118	0.4877716059
119	0.4755223563
120	0.4636118639
121	0.4584944397
122	0.447035377
123	0.4358919218
124	0.4250551633
125	0.414516491
126	0.4042675826
127	0.3919721065
128	0.3877479843
129	0.3826253886
130	0.3777566574
131	0.3684444298
132	0.359385704
133	0.3505736008
134	0.3417310068
135	0.337511415
136	0.3335049417
137	0.3251410857
138	0.3213951412
139	0.3178344234
140	0.3100658846
141	0.3003548247
142	0.2970977549
143	0.2945771432
144	0.2915827642
145	0.2824415603
146	0.2801778263
147	0.2774609965
148	0.2738157674
149	0.2671336181
150	0.2587442545
151	0.2553876471
152	0.2491666407
153	0.242970167
154	0.2399001489
155	0.2340653667
156	0.2283028883
157	0.2227364624
158	0.220005522
159	0.2146610074
160	0.2095767196
161	0.2046518379
162	0.2022180919
163	0.1975104787
164	0.1929504529
165	0.190730836
166	0.1863717266
167	0.1821495079
168	0.1801271107
169	0.1760909194
170	0.1721819078
171	0.1703410852
172	0.166604509
173	0.1608734554
174	0.1586957974
175	0.1565978678
176	0.1550885018
177	0.1516905897
178	0.1497507084
179	0.1448183872
180	0.1429966114
181	0.1412430569
182	0.139555705
183	0.1365099597
184	0.1349127431
185	0.1308998198
186	0.129428832
187	0.1279467082
188	0.1265217104
189	0.1251274711
190	0.1214374601
191	0.1201031962
192	0.1187895854
193	0.1175273785
194	0.115275687
195	0.1115117421
196	0.1094552496
197	0.1060277654
198	0.1041508992
199	0.1023692903
200	0.09918891712
201	0.09633037673
202	0.09477620287
203	0.09207186059
204	0.09066228099
205	0.08828820579
206	0.08700655214
207	0.08497030865
208	0.08422562065
209	0.08241004229
210	0.08049523973
211	0.07942296648
212	0.07758251443
213	0.07604467324
214	0.07485034157
215	0.07317739613
216	0.07221765429
217	0.07109022948
218	0.07000308681
219	0.06895497055
220	0.06749867329
221	0.06650860776
222	0.06511791163
223	0.06424562292
224	0.06291685107
225	0.06209356079
226	0.06082362435
227	0.06004651694
228	0.05883251301
229	0.05765760571
230	0.05693813092
231	0.05581484765
232	0.05513541694
233	0.05406127194
234	0.05341961473
235	0.05239226347
236	0.05178623792
237	0.05040021534
238	0.049826618
239	0.04853012368
240	0.04798692316
241	0.0467738157
242	0.04625911199
243	0.04512364572
244	0.04456725299
245	0.04372965578
246	0.04319544149
247	0.04226801242
248	0.04181180097
249	0.04137349422
250	0.0407380714
251	0.04031345203
252	0.0396982104
253	0.03886059782
254	0.03844795827
255	0.03805163175
256	0.03747319024
257	0.03708907822
258	0.03652863794
259	0.0358514401
260	0.03547661854
261	0.03511668927
262	0.03437739248
263	0.03403085152
264	0.03351973848
265	0.03318364511
266	0.03268799269
267	0.03236194259
268	0.03188116359
269	0.03129635031
270	0.03097763751
271	0.03034198209
272	0.03003522179
273	0.02974079634
274	0.02930094286
275	0.02901516483
276	0.02858823567
277	0.0280676036
278	0.02778799457
279	0.02722701738
280	0.02695796099
281	0.02619146392
282	0.02594492896
283	0.02570519804
284	0.02532791451
285	0.02462160065
286	0.02438809826
287	0.02401477827
288	0.02353236368
289	0.02287625222
290	0.02265914409
291	0.0223127878
292	0.02198186842
293	0.02137467228
294	0.02116795916
295	0.02085518993
296	0.02027883889
297	0.01998142017
298	0.01944342906
299	0.01916427786
300	0.0189737402
301	0.01870499449
302	0.01847125942
303	0.01800635162
304	0.01775846273
305	0.01732891231
306	0.01703642807
307	0.01664390542
308	0.01627341484
309	0.01606628193
310	0.01588390266
311	0.01568523025
312	0.01549543912
313	0.0150512992
314	0.0149381709
315	0.01483000577
316	0.01451380338
317	0.01441185699
318	0.01431439482
319	0.01401925546
320	0.01381797646
321	0.01362900279
322	0.0134770204
323	0.01333205477
324	0.01316760459
325	0.01302843714
326	0.01264481753
327	0.0125425432
328	0.01238012022
329	0.01228091981
330	0.01211871256
331	0.01196728245
332	0.01161746994
333	0.01154183989
334	0.01146954429
335	0.01137944536
336	0.01129341573
337	0.01095145654
338	0.01081367357
339	0.01073320899
